// This file was decompiled using SASCM.ini published on 2021-01-30
DEFINE OBJECTS 127
DEFINE OBJECT SANNY BUILDER 3.7.0     
DEFINE OBJECT MICRO_UZI                // Object number -1
045A: draw_text_1number 520.0 390.0 GXT 'H_AMMO' number 11@ 
jump @GHUD_3895 

:GHUD_3872
045A: draw_text_1number 520.0 390.0 GXT "H_NONE" number 11@ 

:GHUD_3895
033F: set_text_draw_letter_size 0.2 0.8 
0340: set_text_draw_RGBA 255 255 255 255 
0342: set_text_draw_centered 1 
0343: set_text_draw_linewidth 600.0 
060D: draw_text_shadow 1 rgba 0 0 0 255 
if 
0A0C:   player $PLAYER_CHAR on_jetpack 
jf @GHUD_3984 
045A: draw_text_1number 510.0 360.0 GXT 'H_WJP' number 0 

:GHUD_3984
033F: set_text_draw_letter_size 0.3 0.8 
0340: set_text_draw_RGBA 255 255 255 255 
0342: set_text_draw_centered 1 
0343: set_text_draw_linewidth 600.0 
060D: draw_text_shadow 1 rgba 0 0 0 255 
0470: 22@ = actor $PLAYER_ACTOR current_weapon 
if or
  22@ == 0 
  22@ == 1 
jf @GHUD_4108 
if 
0A0C:   player $PLAYER_CHAR on_jetpack 
jf @GHUD_4108 
045A: draw_text_1number 510.0 380.0 GXT 'H_W53' number 0 
return 

:GHUD_4108
if or
   Actor.Animation($PLAYER_ACTOR) == "PHONE_IN"
   Actor.Animation($PLAYER_ACTOR) == "PHONE_OUT"
   Actor.Animation($PLAYER_ACTOR) == "PHONE_TALK"
jf @GHUD_4192 
045A: draw_text_1number 510.0 380.0 GXT 'H_W54' number 0 
return 

:GHUD_4192
if 
  22@ == 0 
jf @GHUD_4233 
045A: draw_text_1number 510.0 380.0 GXT 'H_W00' number 0 

:GHUD_4233
if 
  22@ == 1 
jf @GHUD_4274 
045A: draw_text_1number 510.0 380.0 GXT 'H_W01' number 0 

:GHUD_4274
if 
  22@ == 2 
jf @GHUD_4315 
045A: draw_text_1number 510.0 380.0 GXT 'H_W02' number 0 

:GHUD_4315
if 
  22@ == 3 
jf @GHUD_4356 
045A: draw_text_1number 510.0 380.0 GXT 'H_W03' number 0 

:GHUD_4356
if 
  22@ == 4 
jf @GHUD_4397 
045A: draw_text_1number 510.0 380.0 GXT 'H_W04' number 0 

:GHUD_4397
if 
  22@ == 5 
jf @GHUD_4438 
045A: draw_text_1number 510.0 380.0 GXT 'H_W05' number 0 

:GHUD_4438
if 
  22@ == 6 
jf @GHUD_4479 
045A: draw_text_1number 510.0 380.0 GXT 'H_W06' number 0 

:GHUD_4479
if 
  22@ == 7 
jf @GHUD_4520 
045A: draw_text_1number 510.0 380.0 GXT 'H_W07' number 0 

:GHUD_4520
if 
  22@ == 8 
jf @GHUD_4561 
045A: draw_text_1number 510.0 380.0 GXT 'H_W08' number 0 

:GHUD_4561
if 
  22@ == 9 
jf @GHUD_4602 
045A: draw_text_1number 510.0 380.0 GXT 'H_W09' number 0 

:GHUD_4602
if and
  22@ >= 10 
  15 >= 22@ 
jf @GHUD_4650 
045A: draw_text_1number 510.0 380.0 GXT 'H_W10' number 0 

:GHUD_4650
if 
  22@ == 16 
jf @GHUD_4691 
045A: draw_text_1number 510.0 380.0 GXT 'H_W16' number 0 

:GHUD_4691
if 
  22@ == 17 
jf @GHUD_4732 
045A: draw_text_1number 510.0 380.0 GXT 'H_W17' number 0 

:GHUD_4732
if 
  22@ == 18 
jf @GHUD_4773 
045A: draw_text_1number 510.0 380.0 GXT 'H_W18' number 0 

:GHUD_4773
if 
  22@ == 22 
jf @GHUD_4814 
045A: draw_text_1number 510.0 380.0 GXT 'H_W22' number 0 

:GHUD_4814
if 
  22@ == 23 
jf @GHUD_4855 
045A: draw_text_1number 510.0 380.0 GXT 'H_W23' number 0 

:GHUD_4855
if 
  22@ == 24 
jf @GHUD_4896 
045A: draw_text_1number 510.0 380.0 GXT 'H_W24' number 0 

:GHUD_4896
if 
  22@ == 25 
jf @GHUD_4937 
045A: draw_text_1number 510.0 380.0 GXT 'H_W25' number 0 

:GHUD_4937
if 
  22@ == 26 
jf @GHUD_4978 
045A: draw_text_1number 510.0 380.0 GXT 'H_W26' number 0 

:GHUD_4978
if 
  22@ == 27 
jf @GHUD_5019 
045A: draw_text_1number 510.0 380.0 GXT 'H_W27' number 0 

:GHUD_5019
if 
  22@ == 28 
jf @GHUD_5060 
045A: draw_text_1number 510.0 380.0 GXT 'H_W28' number 0 

:GHUD_5060
if 
  22@ == 29 
jf @GHUD_5101 
045A: draw_text_1number 510.0 380.0 GXT 'H_W29' number 0 

:GHUD_5101
if 
  22@ == 30 
jf @GHUD_5142 
045A: draw_text_1number 510.0 380.0 GXT 'H_W30' number 0 

:GHUD_5142
if 
  22@ == 31 
jf @GHUD_5183 
045A: draw_text_1number 510.0 380.0 GXT 'H_W31' number 0 

:GHUD_5183
if 
  22@ == 32 
jf @GHUD_5224 
045A: draw_text_1number 510.0 380.0 GXT 'H_W32' number 0 

:GHUD_5224
if 
  22@ == 33 
jf @GHUD_5265 
045A: draw_text_1number 510.0 380.0 GXT 'H_W33' number 0 

:GHUD_5265
if 
  22@ == 34 
jf @GHUD_5306 
045A: draw_text_1number 510.0 380.0 GXT 'H_W34' number 0 

:GHUD_5306
if 
  22@ == 35 
jf @GHUD_5347 
045A: draw_text_1number 510.0 380.0 GXT 'H_W35' number 0 

:GHUD_5347
if 
  22@ == 36 
jf @GHUD_5388 
045A: draw_text_1number 510.0 380.0 GXT 'H_W36' number 0 

:GHUD_5388
if 
  22@ == 37 
jf @GHUD_5429 
045A: draw_text_1number 510.0 380.0 GXT 'H_W37' number 0 

:GHUD_5429
if 
  22@ == 38 
jf @GHUD_5470 
045A: draw_text_1number 510.0 380.0 GXT 'H_W38' number 0 

:GHUD_5470
if 
  22@ == 39 
jf @GHUD_5511 
045A: draw_text_1number 510.0 380.0 GXT 'H_W39' number 0 

:GHUD_5511
if 
  22@ == 40 
jf @GHUD_5552 
045A: draw_text_1number 510.0 380.0 GXT 'H_W40' number 0 

:GHUD_5552
if 
  22@ == 41 
jf @GHUD_5593 
045A: draw_text_1number 510.0 380.0 GXT 'H_W41' number 0 

:GHUD_5593
if 
  22@ == 42 
jf @GHUD_5634 
045A: draw_text_1number 510.0 380.0 GXT 'H_W42' number 0 

:GHUD_5634
if 
  22@ == 43 
jf @GHUD_5675 
045A: draw_text_1number 510.0 380.0 GXT 'H_W43' number 0 

:GHUD_5675
if 
  22@ == 44 
jf @GHUD_5716 
045A: draw_text_1number 510.0 380.0 GXT 'H_W44' number 0 

:GHUD_5716
if 
  22@ == 45 
jf @GHUD_5757 
045A: draw_text_1number 510.0 380.0 GXT 'H_W45' number 0 

:GHUD_5757
if 
  22@ == 46 
jf @GHUD_5798 
045A: draw_text_1number 510.0 380.0 GXT 'H_W46' number 0 

:GHUD_5798
return 

:GHUD_5800
if and
   not $9465 == 2 
   not 20@ >= 30 
jf @GHUD_5870 
0393: actor $PLAYER_ACTOR perform_animation "RUN_PLAYER" at 0.5 times_normal_rate 
0393: actor $PLAYER_ACTOR perform_animation "SPRINT_CIVI" at 0.5 times_normal_rate 

:GHUD_5870
return 

:GHUD_5872
if and
   not $9465 == 2 
  24@ == 1 
   not Actor.Dead($PLAYER_ACTOR)
jf @GHUD_5989 
if 
   not Actor.Animation($PLAYER_ACTOR) == "KO_SKID_FRONT"
jf @GHUD_5989 
if 
   Player.Controllable($PLAYER_CHAR)
jf @GHUD_5989 
0812: AS_actor $PLAYER_ACTOR perform_animation "KO_SKID_FRONT" IFP "PED" framedelta 8.0 loopA 0 lockX 0 lockY 0 lockF 1 time -1 // versionB 

:GHUD_5989
if 
   Actor.Animation($PLAYER_ACTOR) == "KO_SKID_FRONT"
jf @GHUD_6110 
if 
  0 >= 20@ 
jf @GHUD_6060 
0792: disembark_instantly_actor $PLAYER_ACTOR 
0321: AS_actor $PLAYER_ACTOR die_headshotted 
wait 1000 
jump @GHUD_1465 

:GHUD_6060
if 
   not 24@ == 1 
jf @GHUD_6110 
0812: AS_actor $PLAYER_ACTOR perform_animation "GETUP" IFP "PED" framedelta 8.0 loopA 0 lockX 1 lockY 1 lockF 0 time -1 // versionB 

:GHUD_6110
return 
if 
   Actor.Dead(0@)
jf @GHUD_6130 
terminate_this_script 

:GHUD_6130
04ED: load_animation "WAP" 
04ED: load_animation "FIGHT_D" 
$9368 += 1 
27@ = -1 
Actor.Health(0@) = 8000
0446: set_actor 0@ dismemberment_possible 0 
04D8: set_actor 0@ drowns_in_water 0 
0946: set_actor 0@ actions_uninterupted_by_weapon_fire 1 
060B: set_actor 0@ decision_maker_to 32 
0A09: set_actor 0@ muted 0 // versionB 
0568: set_actor 0@ untargetable 1 
054A: set_actor 0@ can_be_shot_in_a_car 0 
03FE: set_actor 0@ money 0 
0A1D: AS_actor 0@ rotate_to_and_look_at_actor $PLAYER_ACTOR 
wait 1000 
jump @ALIENONE_99 

:ALIENONE
wait 0 
0085: 10@ = 0@ // (int) 
0085: 11@ = 1@ // (int) 
0085: 12@ = 2@ // (int) 
023C: load_special_actor 'MEC01' as 9 // models 290-299 
04ED: load_animation "WAP" 
04ED: load_animation "FIGHT_D" 
$9368 += 1 

:ALIENONE_66
wait 0 
if 
023D:   special_actor 9 loaded 
jf @ALIENONE_66 
ALIENONE_4264()
27@ = -1 

:ALIENONE_99
wait 0 
if 
   Player.Defined($PLAYER_CHAR)
jf @ALIENONE_99 
if 
   not Actor.Dead(0@)
jf @ALIENONE_4656 
10@ = Actor.Health(0@)
if 
  10@ > 0 
jf @ALIENONE_4656 
10@ /= 1000 
if and
  $9417 == 1 
003B:   27@ == $PLAYER_ACTOR // (int) 
jf @ALIENONE_209 
27@ = -1 
30@ = -1 

:ALIENONE_209
ALIENONE_4794()
ALIENONE_2967()
ALIENONE_348()
ALIENONE_1321()
ALIENONE_1789()
ALIENONE_1112()
if 
ALIENONE_2097()
jf @ALIENONE_99 
ALIENONE_2422()
if 
   not Actor.Dead(30@)
jf @ALIENONE_341 
ALIENONE_4181()
ALIENONE_2566()
ALIENONE_2657()
ALIENONE_2771()
ALIENONE_2882()
ALIENONE_3026()
ALIENONE_3887()

:ALIENONE_341
jump @ALIENONE_99 

:ALIENONE_348
04C4: store_coords_to $TEMPVAR_X_COORD $TEMPVAR_Y_COORD $TEMPVAR_Z_COORD from_actor 0@ with_offset -1.6 1.5 -0.3 
04C4: store_coords_to $TEMPVAR_FLOAT_1 $TEMPVAR_FLOAT_2 $TEMPVAR_FLOAT_3 from_actor 0@ with_offset 1.6 0.0 1.7 
if 
86BD:   not no_obstacles_between $TEMPVAR_X_COORD $TEMPVAR_Y_COORD $TEMPVAR_Z_COORD and $TEMPVAR_FLOAT_1 $TEMPVAR_FLOAT_2 $TEMPVAR_FLOAT_3 solid 0 car 1 actor 0 object 1 particle 0 
jf @ALIENONE_490 
0812: AS_actor 0@ perform_animation "FIGHTD_3" IFP "FIGHT_D" framedelta 4.0 loopA 1 lockX 1 lockY 1 lockF 0 time -1 // versionB 
Camera.Shake(100)

:ALIENONE_490
return 
04C4: store_coords_to $TEMPVAR_X_COORD $TEMPVAR_Y_COORD $TEMPVAR_Z_COORD from_actor 0@ with_offset 0.0 0.0 0.0 
04C4: store_coords_to $TEMPVAR_FLOAT_1 $TEMPVAR_FLOAT_2 $TEMPVAR_FLOAT_3 from_actor 30@ with_offset 0.0 0.0 0.0 
050A: 28@ = distance_between_XYZ $TEMPVAR_X_COORD $TEMPVAR_Y_COORD $TEMPVAR_Z_COORD and_XYZ $TEMPVAR_FLOAT_1 $TEMPVAR_FLOAT_2 $TEMPVAR_FLOAT_3 
0087: $TEMPVAR_X_COORD = $TEMPVAR_FLOAT_3 // (float) 
0087: $TEMPVAR_Y_COORD = $TEMPVAR_FLOAT_3 // (float) 
$TEMPVAR_X_COORD += 3.0 
$TEMPVAR_Y_COORD -= 2.0 
if and
   not Actor.Animation(0@) == "WAP_J_GLIDE"
0035:   $TEMPVAR_X_COORD >= $TEMPVAR_Z_COORD // (float) 
8035:   not  $TEMPVAR_Y_COORD >= $TEMPVAR_Z_COORD // (float) 
jf @ALIENONE_1110 
04C4: store_coords_to $TEMPVAR_X_COORD $TEMPVAR_Y_COORD $TEMPVAR_Z_COORD from_actor 0@ with_offset 0.0 2.0 0.5 
04C4: store_coords_to $TEMPVAR_FLOAT_1 $TEMPVAR_FLOAT_2 $TEMPVAR_FLOAT_3 from_actor 0@ with_offset 0.0 8.0 -4.0 
if 
06BD:   no_obstacles_between $TEMPVAR_X_COORD $TEMPVAR_Y_COORD $TEMPVAR_Z_COORD and $TEMPVAR_FLOAT_1 $TEMPVAR_FLOAT_2 $TEMPVAR_FLOAT_3 solid 1 car 0 actor 0 object 0 particle 0 
jf @ALIENONE_1110 
04C4: store_coords_to $TEMPVAR_X_COORD $TEMPVAR_Y_COORD $TEMPVAR_Z_COORD from_actor 0@ with_offset 0.0 2.0 32.0 
04C4: store_coords_to $TEMPVAR_FLOAT_1 $TEMPVAR_FLOAT_2 $TEMPVAR_FLOAT_3 from_actor 0@ with_offset 0.0 0.0 0.5 
if 
06BD:   no_obstacles_between $TEMPVAR_X_COORD $TEMPVAR_Y_COORD $TEMPVAR_Z_COORD and $TEMPVAR_FLOAT_1 $TEMPVAR_FLOAT_2 $TEMPVAR_FLOAT_3 solid 1 car 0 actor 0 object 0 particle 0 
jf @ALIENONE_1048 
0812: AS_actor 0@ perform_animation "WAP_J_UP" IFP "WAP" framedelta 5.0 loopA 0 lockX 1 lockY 1 lockF 0 time -1 // versionB 
wait 200 
28@ -= 2.0 
04C4: store_coords_to $TEMPVAR_FLOAT_1 $TEMPVAR_FLOAT_2 $TEMPVAR_FLOAT_3 from_actor 0@ with_offset 0.0 28@ 0.0 
04C4: store_coords_to $TEMPVAR_X_COORD $TEMPVAR_Y_COORD $TEMPVAR_Z_COORD from_actor 0@ with_offset 0.0 0.0 0.0 
0063: $TEMPVAR_FLOAT_1 -= $TEMPVAR_X_COORD // (float) 
0063: $TEMPVAR_FLOAT_2 -= $TEMPVAR_Y_COORD // (float) 
09F1: play_audio_at_actor 0@ event 1159 
09F1: play_audio_at_actor 0@ event 1159 
26@ = 1 
12@ = 0 

:ALIENONE_1004
083C: set_actor 0@ velocity_in_direction_XYZ $TEMPVAR_FLOAT_1 $TEMPVAR_FLOAT_2 30.0 
12@ += 1 
  12@ > 15 
jf @ALIENONE_1004 
jump @ALIENONE_1110 

:ALIENONE_1048
if 
   not Actor.Animation(0@) == "WAP_BACK"
jf @ALIENONE_1110 
0812: AS_actor 0@ perform_animation "WAP_BACK" IFP "WAP" framedelta 5.0 loopA 1 lockX 1 lockY 1 lockF 1 time 1000 // versionB 

:ALIENONE_1110
return 

:ALIENONE_1112
if 
04AD:   actor 0@ in_water 
jf @ALIENONE_1319 
0812: AS_actor 0@ perform_animation "WAP_J_UP" IFP "WAP" framedelta 5.0 loopA 0 lockX 1 lockY 1 lockF 0 time -1 // versionB 
wait 200 
28@ -= 2.0 
04C4: store_coords_to $TEMPVAR_FLOAT_1 $TEMPVAR_FLOAT_2 $TEMPVAR_FLOAT_3 from_actor 0@ with_offset 0.0 15.0 0.0 
04C4: store_coords_to $TEMPVAR_X_COORD $TEMPVAR_Y_COORD $TEMPVAR_Z_COORD from_actor 0@ with_offset 0.0 0.0 0.0 
0063: $TEMPVAR_FLOAT_1 -= $TEMPVAR_X_COORD // (float) 
0063: $TEMPVAR_FLOAT_2 -= $TEMPVAR_Y_COORD // (float) 
09F1: play_audio_at_actor 0@ event 1159 
09F1: play_audio_at_actor 0@ event 1159 
26@ = 1 
12@ = 0 

:ALIENONE_1282
083C: set_actor 0@ velocity_in_direction_XYZ $TEMPVAR_FLOAT_1 $TEMPVAR_FLOAT_2 30.0 
12@ += 1 
  12@ > 15 
jf @ALIENONE_1282 

:ALIENONE_1319
return 

:ALIENONE_1321
04C4: store_coords_to $TEMPVAR_X_COORD $TEMPVAR_Y_COORD $TEMPVAR_Z_COORD from_actor 0@ with_offset 0.0 1.8 2.0 
04C4: store_coords_to $TEMPVAR_FLOAT_1 $TEMPVAR_FLOAT_2 $TEMPVAR_FLOAT_3 from_actor 0@ with_offset 0.0 0.0 -0.8 
if and
   not Actor.Animation(0@) == "WAP_J_GLIDE"
86BD:   not no_obstacles_between $TEMPVAR_X_COORD $TEMPVAR_Y_COORD $TEMPVAR_Z_COORD and $TEMPVAR_FLOAT_1 $TEMPVAR_FLOAT_2 $TEMPVAR_FLOAT_3 solid 1 car 0 actor 0 object 0 particle 0 
jf @ALIENONE_1787 
04C4: store_coords_to $TEMPVAR_X_COORD $TEMPVAR_Y_COORD $TEMPVAR_Z_COORD from_actor 0@ with_offset 0.0 0.7 16.0 
04C4: store_coords_to $TEMPVAR_FLOAT_1 $TEMPVAR_FLOAT_2 $TEMPVAR_FLOAT_3 from_actor 0@ with_offset 0.0 0.0 1.0 
if 
06BD:   no_obstacles_between $TEMPVAR_X_COORD $TEMPVAR_Y_COORD $TEMPVAR_Z_COORD and $TEMPVAR_FLOAT_1 $TEMPVAR_FLOAT_2 $TEMPVAR_FLOAT_3 solid 1 car 0 actor 0 object 0 particle 0 
jf @ALIENONE_1725 
0812: AS_actor 0@ perform_animation "WAP_J_UP" IFP "WAP" framedelta 5.0 loopA 0 lockX 1 lockY 1 lockF 0 time -1 // versionB 
wait 200 
04C4: store_coords_to $TEMPVAR_FLOAT_1 $TEMPVAR_FLOAT_2 $TEMPVAR_FLOAT_3 from_actor 0@ with_offset 0.0 15.0 0.0 
04C4: store_coords_to $TEMPVAR_X_COORD $TEMPVAR_Y_COORD $TEMPVAR_Z_COORD from_actor 0@ with_offset 0.0 0.0 0.0 
0063: $TEMPVAR_FLOAT_1 -= $TEMPVAR_X_COORD // (float) 
0063: $TEMPVAR_FLOAT_2 -= $TEMPVAR_Y_COORD // (float) 
09F1: play_audio_at_actor 0@ event 1159 
09F1: play_audio_at_actor 0@ event 1159 
26@ = 1 
12@ = 0 

:ALIENONE_1681
083C: set_actor 0@ velocity_in_direction_XYZ $TEMPVAR_FLOAT_1 $TEMPVAR_FLOAT_2 30.0 
12@ += 1 
  12@ > 15 
jf @ALIENONE_1681 
jump @ALIENONE_1787 

:ALIENONE_1725
if 
   not Actor.Animation(0@) == "WAP_BACK"
jf @ALIENONE_1787 
0812: AS_actor 0@ perform_animation "WAP_BACK" IFP "WAP" framedelta 5.0 loopA 1 lockX 1 lockY 1 lockF 1 time 1000 // versionB 

:ALIENONE_1787
return 

:ALIENONE_1789
if 
   Actor.Animation(0@) == "WAP_BACK"
jf @ALIENONE_2095 
04C4: store_coords_to $TEMPVAR_X_COORD $TEMPVAR_Y_COORD $TEMPVAR_Z_COORD from_actor 0@ with_offset 0.0 2.0 32.0 
04C4: store_coords_to $TEMPVAR_FLOAT_1 $TEMPVAR_FLOAT_2 $TEMPVAR_FLOAT_3 from_actor 0@ with_offset 0.0 0.0 3.0 
if 
06BD:   no_obstacles_between $TEMPVAR_X_COORD $TEMPVAR_Y_COORD $TEMPVAR_Z_COORD and $TEMPVAR_FLOAT_1 $TEMPVAR_FLOAT_2 $TEMPVAR_FLOAT_3 solid 1 car 0 actor 0 object 0 particle 0 
jf @ALIENONE_2095 
0812: AS_actor 0@ perform_animation "WAP_J_UP" IFP "WAP" framedelta 5.0 loopA 0 lockX 1 lockY 1 lockF 0 time -1 // versionB 
wait 200 
04C4: store_coords_to $TEMPVAR_FLOAT_1 $TEMPVAR_FLOAT_2 $TEMPVAR_FLOAT_3 from_actor 0@ with_offset 0.0 15.0 0.0 
04C4: store_coords_to $TEMPVAR_X_COORD $TEMPVAR_Y_COORD $TEMPVAR_Z_COORD from_actor 0@ with_offset 0.0 0.0 0.0 
0063: $TEMPVAR_FLOAT_1 -= $TEMPVAR_X_COORD // (float) 
0063: $TEMPVAR_FLOAT_2 -= $TEMPVAR_Y_COORD // (float) 
09F1: play_audio_at_actor 0@ event 1159 
09F1: play_audio_at_actor 0@ event 1159 
26@ = 1 
12@ = 0 

:ALIENONE_2058
083C: set_actor 0@ velocity_in_direction_XYZ $TEMPVAR_FLOAT_1 $TEMPVAR_FLOAT_2 30.0 
12@ += 1 
  12@ > 15 
jf @ALIENONE_2058 

:ALIENONE_2095
return 

:ALIENONE_2097
if 
  26@ == 1 
jf @ALIENONE_2418 
if 
   not Actor.Animation(0@) == "WAP_J_UP"
jf @ALIENONE_2418 
083D: get_actor 0@ velocity_in_direction_XYZ $TEMPVAR_X_COORD $TEMPVAR_Y_COORD $TEMPVAR_Z_COORD 
if 
   not $TEMPVAR_Z_COORD == 0.0 
jf @ALIENONE_2250 
if 
   not Actor.Animation(0@) == "WAP_J_GLIDE"
jf @ALIENONE_2243 
0812: AS_actor 0@ perform_animation "WAP_J_GLIDE" IFP "WAP" framedelta 5.0 loopA 1 lockX 1 lockY 1 lockF 1 time -1 // versionB 

:ALIENONE_2243
jump @ALIENONE_2414 

:ALIENONE_2250
0669: 12@ = attach_particle "EXPLOSION_SMALL" to_actor 0@ with_offset 0.0 0.0 0.0 type 2 
064C: make_particle 12@ visible 
10@ = 0 

:ALIENONE_2304
ALIENONE_3304()
ALIENONE_3628()
ALIENONE_3799()
if 
   not Actor.Animation(0@) == "WAP_WALK"
jf @ALIENONE_2386 
0812: AS_actor 0@ perform_animation "WAP_WALK" IFP "WAP" framedelta 5.0 loopA 1 lockX 1 lockY 1 lockF 1 time -1 // versionB 

:ALIENONE_2386
10@ += 1 
  10@ > 8 
jf @ALIENONE_2304 
26@ = 0 

:ALIENONE_2414
059A:   return_false 
return 

:ALIENONE_2418
0485:   return_true 
return 

:ALIENONE_2422
if 
80F2:   not actor $PLAYER_ACTOR near_actor 0@ radius 300.0 300.0 0 
jf @ALIENONE_2564 
Camera.Shake(600)
04C4: store_coords_to 10@ 11@ 12@ from_actor $PLAYER_ACTOR with_offset 0.0 -30.0 -1.0 
Actor.PutAt(0@, 10@, 11@, 12@)
0669: 12@ = attach_particle "EXPLOSION_SMALL" to_actor 0@ with_offset 0.0 0.0 0.0 type 1 
064C: make_particle 12@ visible 
09F1: play_audio_at_actor 0@ event 1159 
09F1: play_audio_at_actor 0@ event 1159 

:ALIENONE_2564
return 

:ALIENONE_2566
if and
   not Actor.Animation(0@) == "FIGHTD_3"
00F2:   actor 30@ near_actor 0@ radius 5.0 5.0 0 
jf @ALIENONE_2655 
0812: AS_actor 0@ perform_animation "FIGHTD_3" IFP "FIGHT_D" framedelta 4.0 loopA 1 lockX 1 lockY 1 lockF 1 time -1 // versionB 
Camera.Shake(100)

:ALIENONE_2655
return 

:ALIENONE_2657
if and
   not Actor.Animation(0@) == "WAP_WALK"
   not Actor.Animation(0@) == "WAP_BACK"
   not Actor.Animation(0@) == "WAP_D_FWD"
80F2:   not actor 30@ near_actor 0@ radius 7.0 7.0 0 
jf @ALIENONE_2769 
0812: AS_actor 0@ perform_animation "WAP_WALK" IFP "WAP" framedelta 5.0 loopA 1 lockX 1 lockY 1 lockF 1 time -1 // versionB 

:ALIENONE_2769
return 

:ALIENONE_2771
if or
   Actor.Animation(0@) == "WAP_WALK"
   Actor.Animation(0@) == "WAP_BACK"
jf @ALIENONE_2880 
if 
80F2:   not actor 30@ near_actor 0@ radius 60.0 60.0 0 
jf @ALIENONE_2880 
0812: AS_actor 0@ perform_animation "WAP_D_FWD" IFP "WAP" framedelta 1000.0 loopA 1 lockX 1 lockY 1 lockF 1 time 1000 // versionB 

:ALIENONE_2880
return 

:ALIENONE_2882
if and
   Actor.Animation(0@) == "WAP_D_FWD"
00F2:   actor 30@ near_actor 0@ radius 30.0 30.0 0 
jf @ALIENONE_2965 
0812: AS_actor 0@ perform_animation "WAP_WALK" IFP "WAP" framedelta 5.0 loopA 1 lockX 1 lockY 1 lockF 1 time 1000 // versionB 

:ALIENONE_2965
return 

:ALIENONE_2967
0613: 10@ = actor 0@ animation "WAP_WALK" time 
if and
  10@ > 0.6 
   not 10@ > 0.65 
jf @ALIENONE_3024 
09F1: play_audio_at_actor 0@ event 1159 

:ALIENONE_3024
return 

:ALIENONE_3026
if 
   Actor.Animation(0@) == "FIGHTD_3"
jf @ALIENONE_3302 
0393: actor 0@ perform_animation "FIGHTD_3" at 0.7 times_normal_rate 
0613: 10@ = actor 0@ animation "FIGHTD_3" time 
if and
  10@ > 0.4 
  0.5 > 10@ 
jf @ALIENONE_3302 
ALIENONE_3304()
ALIENONE_3628()
ALIENONE_3799()
if 
0104:   actor 30@ near_actor 0@ radius 4.8 4.8 2.0 sphere 0 
jf @ALIENONE_3302 
Camera.Shake(150)
0669: 14@ = attach_particle "BLOOD_HELI" to_actor 30@ with_offset 0.0 0.0 1.0 type 1 
064C: make_particle 14@ visible 
0208: 10@ = random_float_in_ranges -30.0 30.0 
083C: set_actor 30@ velocity_in_direction_XYZ 0.0 10@ 15.0 
if 
803B:   not  30@ == $PLAYER_ACTOR // (int) 
jf @ALIENONE_3293 
0851: set_actor 30@ decrease_health_by 80 affect_armour 1 
jump @ALIENONE_3302 

:ALIENONE_3293
0851: set_actor 30@ decrease_health_by 20 affect_armour 1 

:ALIENONE_3302
return 

:ALIENONE_3304
04C4: store_coords_to $TEMPVAR_X_COORD $TEMPVAR_Y_COORD $TEMPVAR_Z_COORD from_actor 0@ with_offset 0.0 0.0 0.0 
get_random_car_in_sphere_no_save_recursive $TEMPVAR_ACTOR_CAR $TEMPVAR_X_COORD $TEMPVAR_Y_COORD $TEMPVAR_Z_COORD 8.0 1 0 
if 
056E:   car $TEMPVAR_ACTOR_CAR defined 
jf @ALIENONE_3626 
0669: $TEMPVAR_FLOAT_3 = attach_particle "SHOOTLIGHT" to_actor 0@ with_offset 0.0 1.0 0.0 type 1 
064C: make_particle $TEMPVAR_FLOAT_3 visible 
$TEMPVAR_FLOAT_1 = Car.Health($TEMPVAR_ACTOR_CAR)
$TEMPVAR_FLOAT_1 -= 50 
Car.Health($TEMPVAR_ACTOR_CAR) = $TEMPVAR_FLOAT_1
04C4: store_coords_to $TEMPVAR_X_COORD $TEMPVAR_Y_COORD $TEMPVAR_Z_COORD from_actor 0@ with_offset 0.0 25.0 15.0 
Car.StorePos($TEMPVAR_ACTOR_CAR, $TEMPVAR_FLOAT_1, $TEMPVAR_FLOAT_2, $TEMPVAR_FLOAT_3)
0063: $TEMPVAR_X_COORD -= $TEMPVAR_FLOAT_1 // (float) 
0063: $TEMPVAR_Y_COORD -= $TEMPVAR_FLOAT_2 // (float) 
0063: $TEMPVAR_Z_COORD -= $TEMPVAR_FLOAT_3 // (float) 
050A: $TEMPVAR_FLOAT_1 = distance_between_XYZ $TEMPVAR_X_COORD $TEMPVAR_Y_COORD $TEMPVAR_Z_COORD and_XYZ 0.0 0.0 0.0 
$TEMPVAR_FLOAT_1 *= 2.0 
0073: $TEMPVAR_X_COORD /= $TEMPVAR_FLOAT_1 // (float) 
0073: $TEMPVAR_Y_COORD /= $TEMPVAR_FLOAT_1 // (float) 
0073: $TEMPVAR_Z_COORD /= $TEMPVAR_FLOAT_1 // (float) 
Car.SetSpeedInstantly($TEMPVAR_ACTOR_CAR, 0.0)
07D5: set_car $TEMPVAR_ACTOR_CAR velocity_in_direction_XYZ $TEMPVAR_X_COORD $TEMPVAR_Y_COORD $TEMPVAR_Z_COORD rotation_velocitiesXY 0.0 0.0 unk 0.0 
07DA: set_car $TEMPVAR_ACTOR_CAR rotation_velocity_XYZ 0.0 -2.0 1.0 through_center_of_body 

:ALIENONE_3626
return 

:ALIENONE_3628
